City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
304,San Cristobal,VE,69.98,overcast clouds,7.7669,-72.225,Pirineos
305,San Andres,CO,82.42,broken clouds,12.5847,-81.7006,Hotel Arena Blanca
308,Yulara,AU,60.98,clear sky,-25.2406,130.9889,Desert Gardens Hotel - Ayers Rock Resort
310,Kaitangata,NZ,45.3,light rain,-46.2817,169.8464,Kaitangata Motor Camp
311,Itarema,BR,76.15,broken clouds,-2.9248,-39.9167,"Sea Lounge! Bar, Club & Restaurant"
312,Soanierana Ivongo,MG,65.12,broken clouds,-16.9167,49.5833,Hôtel Escale
313,Ratnapura,LK,78.48,scattered clouds,6.6828,80.3992,Hotel Helenium
315,Turayf,SA,67.01,clear sky,31.6725,38.6637,Turaif
316,Batagay,RU,73.63,overcast clouds,67.6333,134.6333,Gostinitsa Ki'ileekh
317,Ust-Nera,RU,63.12,overcast clouds,64.5667,143.2,Hotel Ust-Nera
318,North Bend,US,55.85,overcast clouds,43.4065,-124.2243,Red Lion Hotel Coos Bay
319,Sioux Lookout,CA,59.77,overcast clouds,50.1001,-91.917,Knobby's Fly-In Camps
320,Pozo Colorado,PY,45.84,clear sky,-23.4923,-58.7972,Hospedaje La Norteña
321,Kodinar,IN,83.62,light rain,20.7903,70.7031,residency of N.B vadhel
322,Hirara,JP,81.37,overcast clouds,24.8,125.2833,Hotel Atoll Emerald Miyakojima
323,San Jose,US,72.05,broken clouds,37.3394,-121.895,The Westin San Jose
324,Novobirilyussy,RU,72.64,broken clouds,56.9514,90.6661,Gostinitsa
325,San Patricio,US,85.17,clear sky,28.017,-97.5169,"Motel 6 Sinton, TX"
326,Ambilobe,MG,65.03,clear sky,-13.2,49.05,Hôtel & Restaurant DIANA Ambilobe
328,Ulagan,RU,67.32,overcast clouds,50.6321,87.9563,Gostevoy Dom
329,Sao Desiderio,BR,72.9,broken clouds,-12.3633,-44.9733,Pousada do Luizão
330,Nouadhibou,MR,67.17,clear sky,20.931,-17.0347,El Medina
333,Tasiilaq,GL,35.76,light rain,65.6145,-37.6368,The Red House
334,Tabou,CI,77.29,overcast clouds,4.423,-7.3528,hotêl doufoulougou
335,Norman Wells,CA,38.79,light rain,65.282,-126.8329,Heritage Hotel
337,Svetlogorsk,BY,55.38,clear sky,52.6333,29.7333,Hotel Svetlogorsk JBIK
338,Gushikawa,JP,82.4,broken clouds,26.3544,127.8686,Kirari Guest House
339,Astoria,US,54.55,light rain,46.1879,-123.8313,Best Western Astoria Bayfront Hotel
341,Haines Junction,CA,57.94,light rain,60.7522,-137.5108,Parkside Inn
342,Petropolis,RU,51.94,fog,59.8944,30.2642,Annushka Hotel
343,Ambovombe,MG,59.5,clear sky,-25.1667,46.0833,RELAHARA
344,Alofi,NU,78.82,few clouds,-19.0595,-169.9187,Taloa Heights
345,Coahuayana,MX,81.45,scattered clouds,18.7333,-103.6833,El rranchito michuacan de ocampos
346,Ishigaki,JP,82.67,overcast clouds,24.3448,124.1572,Hotel Peace Land Ishigakijima
347,Deputatskiy,RU,63.19,clear sky,69.3,139.9,Baza Otdykha
