City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
231,Stepantsevo,RU,56.1314,41.7032,50.0,76,0,3.0,clear sky
232,Saint Anthony,US,45.0205,-93.218,75.09,76,0,11.5,clear sky
233,Ofunato,JP,39.0717,141.7167,62.73,69,57,9.04,broken clouds
234,Ribeira Brava,PT,32.65,-17.0667,68.72,84,16,2.48,few clouds
235,Fort Frances,CA,48.5999,-93.4003,61.02,72,20,6.91,few clouds
236,Necochea,AR,-38.5473,-58.7368,48.31,58,59,9.69,broken clouds
237,Teguldet,RU,57.3064,88.1667,71.56,53,77,8.3,broken clouds
238,Port Hawkesbury,CA,45.6169,-61.3485,63.03,82,100,1.99,overcast clouds
239,The Valley,AI,18.217,-63.0578,82.26,84,0,19.04,clear sky
240,Nyuksenitsa,RU,60.4128,44.2397,50.49,68,80,3.36,broken clouds
241,Matale,LK,7.4721,80.6234,77.31,74,66,4.92,broken clouds
242,Pevek,RU,69.7008,170.3133,40.03,60,87,12.59,overcast clouds
243,Gornopravdinsk,RU,60.05,69.9,50.58,98,100,7.54,overcast clouds
244,Sao Filipe,CV,14.8961,-24.4956,72.79,85,31,4.07,scattered clouds
245,Durban,ZA,-29.8579,31.0292,61.02,63,31,4.0,scattered clouds
246,Shetpe,KZ,44.1667,52.1167,72.68,35,100,8.21,overcast clouds
247,Qaqortoq,GL,60.7167,-46.0333,38.75,92,99,4.5,overcast clouds
248,Guerrero Negro,MX,27.9769,-114.0611,67.1,78,11,17.67,few clouds
249,Kerema,PG,-7.9631,145.7785,83.71,74,100,6.06,overcast clouds
250,Chaumont,FR,48.1167,5.1333,50.49,92,5,4.65,clear sky
251,Muros,ES,42.7762,-9.0603,67.15,74,94,13.71,overcast clouds
252,Port Elizabeth,ZA,-33.918,25.5701,67.32,46,100,4.0,overcast clouds
253,Camopi,GF,3.1655,-52.3158,70.9,99,9,1.7,clear sky
254,Oussouye,SN,12.485,-16.5469,78.13,82,99,7.96,overcast clouds
255,Bonavista,CA,48.6499,-53.1147,42.39,88,85,9.89,overcast clouds
256,Garowe,SO,8.4054,48.4845,78.26,59,92,23.96,overcast clouds
257,Yuxia,CN,34.0615,108.6291,87.1,28,14,6.46,few clouds
258,Road Town,VG,18.4167,-64.6167,82.49,78,15,19.08,few clouds
259,Usakos,NA,-22.0,15.6,57.38,50,0,1.48,clear sky
260,Vostok,RU,46.4856,135.8833,72.77,32,10,0.87,clear sky
261,Yangliuqing,CN,39.1375,116.9997,69.75,50,72,1.92,broken clouds
262,Igaci,BR,-9.5369,-36.6336,69.19,96,0,3.18,clear sky
263,College,US,64.8569,-147.8028,70.0,38,100,3.44,smoke
264,Sabha,LY,27.0377,14.4283,75.78,33,0,10.16,clear sky
265,Sula,PH,15.4573,120.3955,88.84,62,44,5.32,light rain
266,Bonaventure,CA,48.0457,-65.4926,53.42,81,100,9.33,light rain
267,Pisco,PE,-13.7,-76.2167,60.85,82,75,3.44,mist
268,Salmon Arm,CA,50.6998,-119.3024,71.31,39,63,1.28,broken clouds
269,Hervey Bay,AU,-25.2986,152.8535,67.01,59,19,11.01,few clouds
270,Pakpattan,PK,30.341,73.3866,93.85,34,31,9.89,scattered clouds
271,Ercis,TR,39.0287,43.3586,56.43,68,81,6.87,broken clouds
272,Ratnagiri,IN,16.9833,73.3,80.33,82,31,8.55,scattered clouds
273,Flinders,AU,-34.5833,150.8552,61.18,55,3,1.99,clear sky
274,Boende,CD,-0.2167,20.8667,73.13,83,100,1.83,overcast clouds
275,Bassar,TG,9.25,0.7833,71.28,87,92,1.79,overcast clouds
276,Bosaso,SO,11.2842,49.1816,90.86,44,99,7.16,overcast clouds
277,Lac-Megantic,CA,45.5834,-70.8823,58.68,77,100,5.53,overcast clouds
278,Saurimo,AO,-9.6608,20.3916,56.95,60,2,4.34,clear sky
279,Simao,CN,22.7886,100.9748,71.82,86,100,3.02,overcast clouds
280,Constitucion,CL,-35.3333,-72.4167,48.81,90,88,2.62,overcast clouds
281,Westport,US,41.1415,-73.3579,69.84,91,75,3.44,broken clouds
282,Chivay,PE,-15.6383,-71.6011,41.09,30,0,1.7,clear sky
283,Goderich,CA,43.7501,-81.7165,57.9,83,7,6.8,clear sky
284,Praia,CV,14.9215,-23.5087,73.94,78,20,5.75,few clouds
285,Sampit,ID,-2.5333,112.95,79.2,93,100,1.72,overcast clouds
286,Nara,JP,34.6851,135.8049,77.5,32,100,3.83,overcast clouds
287,Carutapera,BR,-1.195,-46.02,75.51,88,1,5.39,clear sky
288,Haaksbergen,NL,52.1567,6.7389,54.91,86,100,5.39,light rain
289,Margate,GB,51.3813,1.3862,56.88,68,17,4.0,few clouds
290,Sechura,PE,-5.5569,-80.8222,64.44,78,9,15.3,clear sky
291,Suchedniow,PL,51.0478,20.8292,60.03,84,7,4.61,clear sky
292,Laguna,US,38.421,-121.4238,81.61,56,0,20.71,clear sky
293,Curitibanos,BR,-27.2828,-50.5844,31.59,98,0,1.25,clear sky
294,Lagoa,PT,39.05,-27.9833,62.13,83,75,21.88,light rain
295,Agua Dulce,MX,18.1333,-94.1333,80.85,79,88,6.53,overcast clouds
296,Agaro,ET,7.85,36.65,57.88,97,30,2.82,scattered clouds
297,Kuusamo,FI,65.9667,29.1833,53.64,82,0,5.75,clear sky
298,Treinta Y Tres,UY,-33.2333,-54.3833,41.97,86,0,3.58,clear sky
299,Payo,ID,-3.7508,103.6372,77.9,83,100,0.18,overcast clouds
300,Padang,ID,-0.9492,100.3543,82.45,71,100,1.32,overcast clouds
301,Alekseyevskaya,RU,50.2896,42.1845,60.82,78,0,5.7,clear sky
302,Nago,JP,26.5881,127.9761,83.25,83,100,19.04,overcast clouds
